GOOGL,0.012
CMG,0.008
GE,0
MMM,0
AMGN,0
GS,0.006
BDX,0
KMB,0
CLX,0
APD,0
IBM,0
MCD,0
ECL,0
IFF,0
WPP,0
LIN,0
JNJ,0.016
INGR,0
PEP,0
DIS,0
VMC,0
PPG,0.018
HSY,0
EL,0
SLG,0
KRYAY,0.005
PG,0
DE,0
DLR,0
LYB,0.019
WBA,0
SAP,0.017
PVH,0.01
MAC,0
K,0
MDT,0
OMC,0
LLY,0.007
NSRGY,0
KOF,0
TGT,0.009
CL,0
MAR,0.015
WMT,0.005
NVS,0.01
AVY,0.013
BMY,0
FSLR,0.009
MAXR,0
FCEL,0.017
CPB,0
NKE,0.016
GIS,0.019
WSM,0
SBUX,0
VFC,0
TEL,0
PCG,0
WM,0
BMO,0.006
ES,0
ADDYY,0
MSFT,0.01
NVO,0
KRC,0
CAKE,0
AGCO,0.012
CCEP,0.007
MRK,0
ENS,0
ASH,0
MKC,0
RSG,0.007
RDY,0
KSS,0
NVZMY,0
UL,0
SNPS,0.015
KO,0
WDC,0.006
H,0
SVFD,0.008
OC,0.016
FDP,0
MDLZ,0
C,0.006
GSK,0.018
SNY,0
PLD,0
GVDNY,0
HAIN,0.011
FUJIY,0
ORCL,0
ITRI,0
ORA,0
LRLCY,0
NJR,0
TSLA,0.014
IP,0.005
ADM,0
ENB,0
HSBC,0
CAG,0
PNR,0
RHHBY,0.009
EDPFY,0
AZN,0
INTC,0.0029999999999993365
CAJ,0.019
PFE,0.007
NEE,0.007
KBCSY,0.017
CSCO,0
UUGRY,0.015
CRH,0
CWT,0
GPS,0
FHI,0.008
NEM,0
GIL,0.02
XRX,0
PHG,0
WY,0.007
DPSGY,0
HPP,0
VEOEY,0.015
SONVY,0
STN,0
BNPQY,0
AXAHY,0
TAK,0.013
TRMB,0.007
HENKY,0.019
SSREY,0.013
AKZOY,0.007
AMRS,0
SONY,0.019
EXC,0
TS,0
ZURVY,0
BIP,0.019
SOMMY,0
JKS,0
SDXAY,0
SWDBY,0
SSEZY,0
CSIQ,0.02
YARIY,0
MGDDY,0.015
CMPGY,0
CJPRY,0
BDRFY,0
VCISY,0.014
SMTC,0
FRRVY,0
SSYS,0
MKKGY,0
AIQUY,0.007
DB,0.01
SYIEY,0
SPWR,0.02
IDEXY,0
SKHSY,0.019
UBS,0
JSAIY,0
HST,0
HDELY,0
CMC,0
SCHN,0
TU,0
CS,0
DANOY,0
BAK,0
RDSMY,0
GOLD,0
ING,0
AU,0
TSCDY,0
NRDBY,0.012
RDEIY,0
KGFHY,0
SLP,0.019
BYDDY,0
SWRAY,0
TREX,0.015
SEOAY,0
ORKLY,0.013
HCMLY,0.013
PCRFY,0
ACCYY,0
YAHOY,0.009
KPELY,0
KNDI,0
NWG,0.005
IRDM,0
TOSYY,0.005
FCX,0.017
NVDA,0
SOL,0
HNNMY,0
DKILY,0.007
SVNLY,0
BEEM,0
AMSC,0.011
SBS,0
CRRFY,0
CRARY,0.018
STKL,0.009
AEG,0
CX,0.013
VWDRY,0.011
GFI,0
ENLAY,0
NHYDY,0
GCTAY,0.014
LYG,0.013
FSM,0.018
WNDW,0.013
KGC,0
AUY,0.019
CBAT,0.009
PLUG,0.016
BWEN,0
BLDP,0.02
